species,number,locality,phallus,epiphallus1,epiphallus2,epiphallus,flagellum,decimalLatitude,decimalLongitude,fl_ep1,fl_ep2,fl_ep,fl_ph,fl_ep+ph,ep1_ep,fl_ph+ep1,shape,retractor,1000pixels=1cm
novaehollandiae,C.272205,Coolongolook,1285,639,1010,1649,569,-32.250833,152.339722,0.890453834,0.563366337,0.345057611,0.442801556,0.193933197,0.38750758,0.248688811,NA,,
novaehollandiae,C.320785,Dorrigo,787,952,1341,2293,406,-30.48972222,152.4077778,0.426470588,0.302759135,0.177060619,0.5158831,0.131818182,0.415176625,0.125115562,,NA,
novaehollandiae,C.348947,Dorrigo,1593,997,1253,2250,425,-30.37305556,152.7241667,0.426278837,0.339185954,0.188888889,0.266792216,0.110590684,0.443111111,0.130890052,,,
novaehollandiae,C.348948,Armidale,804,959,1733,2692,356,-30.505,152.3863889,0.371220021,0.20542412,0.132243685,0.44278607,0.101830664,0.356240713,0.097507532,NA,,
novaehollandiae,C.348949,Dungog,1373,605,1663,2268,587,-32.12833333,151.4697222,0.970247934,0.352976548,0.258818342,0.427530954,0.161219445,0.26675485,0.204316046,,,
novaehollandiae,C.460243,Bugan,1581,1174,1301,2475,297,-31.61083333,152.0205556,0.252981261,0.228285934,0.12,0.187855787,0.073224852,0.474343434,0.081392162,,,
novaehollandiae,C.465639,New-England,1181,821,1159,1980,,-30.46861111,152.5327778,,,,,,0.414646465,,NA,,
novaehollandiae,C.465644,New-England,842,1118,806,1924,365,-30.46861111,152.5327778,0.32647585,0.452853598,0.18970894,0.433491686,0.131959508,0.581081081,0.119986851,NA,,
novaehollandiae,C.488779,Forster,986,848,1389,2237,623,-32.34277778,152.4466667,0.734669811,0.448524118,0.278497988,0.631845842,0.193298169,0.379079124,0.201944895,,,
novaehollandiae,C.517182spec1,Bruxner,1299,1016,1180,2196,216,-30.23333333,153.1,0.212598425,0.183050847,0.098360656,0.166281755,0.061802575,0.462659381,0.067247821,,,
novaehollandiae,C.517182spec2,Bruxner,789,991,1202,2193,307,-30.23333333,153.1,0.309788093,0.255407654,0.13999088,0.389100127,0.10295104,0.451892385,0.096419598,,,
novaehollandiae,C.561022,Marengo,651,406,945,1351,301,-30.23694444,152.3780556,0.74137931,0.318518519,0.222797927,0.462365591,0.15034965,0.300518135,0.171314741,,,
novaehollandiae,C.575474,Ngulin,1132,957,1100,2057,520,-31.34888889,151.6077778,0.543364681,0.472727273,0.252795333,0.459363958,0.163060521,0.465240642,0.172528202,,,
novaehollandiae,C.575477,Cottan-Bimbang,454,1341,1135,2476,454,-31.41388889,152.175,0.338553318,0.4,0.183360258,1,0.154948805,0.541599354,0.118941577,,NA,
novaehollandiae,C.584421,Barrington,786,1240,1587,2827,493,-32.0618,151.6833,0.397580645,0.310649023,0.174389813,0.627226463,0.136451702,0.43862752,0.121219572,,,
novaehollandiae,C.584422,Barrington,808,690,1119,1809,395,-32.1247,151.4672,0.572463768,0.352993744,0.218352681,0.488861386,0.150936186,0.381426202,0.158063225,,,
novaehollandiae,C.584423,Barrington,947,539,899,1438,388,-32.1247,151.4672,0.719851577,0.431590656,0.269819193,0.409714889,0.162683438,0.374826147,0.196256955,,,
novaehollandiae,C.593269,Tapin-Tops,1376,1091,1169,2260,405,-31.66694444,152.1430556,0.371219065,0.346449957,0.17920354,0.294331395,0.111386139,0.482743363,0.120859445,,,
novaehollandiae,QM10840,Bellengen,1356,1063,1389,2452,194,-30.366667,152.8,0.182502352,0.139668826,0.079119086,0.143067847,0.050945378,0.433523654,0.055192034,,,
novaehollandiae,QM12713,Acacia,882,591,791,1382,400,-28.333333,152.416667,0.676818951,0.505689001,0.289435601,0.453514739,0.176678445,0.4276411,0.202736949,,,
novaehollandiae^,QM17248,Antaric-Beech,1035,1171,1465,2636,692,-28.366667,153.1,0.590947908,0.472354949,0.262518968,0.668599034,0.188504495,0.444233687,0.181770423,,,
novaehollandiae,QM19139,Way-Way,1980,1290,1502,2792,1151,-30.7875,152.948611,0.892248062,0.766311585,0.412249284,0.581313131,0.241198659,0.462034384,0.281969623,,,
novaehollandiae,QM31445,Boorganna,1186,1420,1350,2770,981,-31.633333,152.416667,0.69084507,0.726666667,0.354151625,0.827150084,0.247977755,0.512635379,0.234128878,,,
novaehollandiae,QM31867,Telegherry,1177,795,1411,2206,448,-32.116667,151.683333,0.563522013,0.317505315,0.203082502,0.380628717,0.13242684,0.36038078,0.149283572,,,
novaehollandiae,QM32917,New-England,1142,1144,1137,2281,429,-30.5,152.383333,0.375,0.377308707,0.188075406,0.375656743,0.125328659,0.501534415,0.125255474,,NA,
novaehollandiae,QM33065,Dorrigo,1289,1002,1529,2531,510,-30.366667,152.566667,0.508982036,0.333551341,0.201501383,0.395655547,0.133507853,0.395890952,0.144353241,,,
novaehollandiae,QM33097spec1,Bruxner,1218,1258,2107,3365,248,-30.25,153.116667,0.197138315,0.117702895,0.073699851,0.203612479,0.054113026,0.37384844,0.053644819,,,
novaehollandiae,QM36992,Daisy,804,913,1188,2101,494,-30.9075,152.255278,0.541073384,0.415824916,0.23512613,0.614427861,0.170051635,0.434554974,0.163901792,,,
novaehollandiae,QM56374,Chinester,651,1499,1623,3122,426,-32.125,151.183333,0.28418946,0.262476895,0.136450993,0.65437788,0.112907501,0.480140935,0.092187838,,,
rihmondiana,C.348955,Lismore,1670,1200,1783,2983,653,-28.56666667,153.3166667,0.544166667,0.36623668,0.21890714,0.391017964,0.140339566,0.402279584,0.156108056,,,
rihmondiana,QM10496,Mt-Warning,1699,1046,1942,2988,1037,-28.4,153.266667,0.991395793,0.533985582,0.347054886,0.610359035,0.221250267,0.350066934,0.257064948,,,
rihmondiana,QM19051spec1,Binna-Bvrra,1130,1095,1434,2529,918,-28.216667,153.2,0.838356164,0.640167364,0.362989324,0.812389381,0.250888221,0.432977461,0.253311258,,,
rihmondiana,QM19051spec2,Binna-Bvrra,,,,,,-28.216667,153.2,,,,,,,,NA,,
rihmondiana,QM19051spec3,Binna-Bvrra,825,1362,1213,2575,752,-28.216667,153.2,0.552129222,0.619950536,0.292038835,0.911515152,0.221176471,0.528932039,0.191008382,,,
rihmondiana,QM19051spec4,Binna-Bvrra,923,906,1498,2404,511,-28.216667,153.2,0.56401766,0.341121495,0.212562396,0.553629469,0.153591824,0.37687188,0.154380665,,,
rihmondiana,QM25801spec1,Lewer-Ballagjoi,1302,933,1560,2493,678,-28.233333,153.216667,0.726688103,0.434615385,0.271961492,0.520737327,0.178656126,0.374247894,0.197898424,,,
rihmondiana,QM25801spec2,Lewer-Ballagjoi,1923,926,1690,2616,862,-28.233333,153.216667,0.930885529,0.510059172,0.329510703,0.44825793,0.189909672,0.353975535,0.24336533,,,
rihmondiana,QM25801spec3,Lewer-Ballagjoi,1853,1022,1628,2650,1060,-28.233333,153.216667,1.037181996,0.651105651,0.4,0.572045332,0.235398623,0.385660377,0.288671024,,,
rihmondiana,QM4235,Glorious,1513,1056,2419,3475,1665,-27.3318739,152.7674619,1.576704545,0.688300951,0.479136691,1.100462657,0.333801123,0.303884892,0.36746855,,,
rihmondiana,QM55411,Lamington,951,1210,1154,2364,846,-28.25,153.216667,0.699173554,0.733102253,0.35786802,0.889589905,0.25520362,0.511844332,0.236709569,,,
