Distance_(cm),cm
0.0,0.26771346
0.02505540666666667,0.27276687979797987
0.05011081333333334,0.2940548507070707
0.07516622,0.30376383393939393
0.10022162666666667,0.3219575717171717
0.12527703333333334,0.3441122470707071
0.15033244,0.3733188090909091
0.17538784666666668,0.38942772000000003
0.20044325333333335,0.40428512929292926
0.22549866000000002,0.4162249509090909
0.2505540666666667,0.423291
0.27560947333333335,0.423291
0.30066488,0.423291
0.3257202866666667,0.42839232060606064
0.35077569333333336,0.43894927898989905
0.37583110000000003,0.4452271327272727
0.4008865066666667,0.45535454888888893
0.42594191333333337,0.4738099066666668
0.45099732000000003,0.48726621090909095
0.4760527266666667,0.4891365488888889
0.5011081333333334,0.49363883999999997
0.52616354,0.5079492
0.5512189466666667,0.5226103622222222
0.5762743533333334,0.5406061082828283
0.60132976,0.5582144145454546
0.6263851666666667,0.567894021010101
0.6514405733333334,0.579806697979798
0.6764959800000001,0.5830643890909091
0.7015513866666667,0.58481722
0.7266067933333333,0.5946577701010101
0.7516622000000001,0.6090546696969698
0.7767176066666668,0.6253892557575759
0.8017730133333334,0.6389491355555555
0.82682842,0.6495618200000001
0.8518838266666667,0.66120264
0.8769392333333335,0.6765702814141415
0.9019946400000001,0.6935333763636363
0.9270500466666667,0.706792946060606
0.9521054533333334,0.7209554216161616
0.9771608600000001,0.735117178787879
1.0022162666666667,0.7509792222222222
1.0272716733333334,0.7677259040404041
1.05232708,0.7849417418181818
1.0773824866666668,0.7985527808080809
1.1024378933333334,0.8154864733333334
1.1274933,0.8298911981818181
1.1525487066666669,0.8364246169696969
1.1776041133333335,0.840751057979798
1.20265952,0.8439217733333334
1.2277149266666667,0.846582
