Image,Width(pixels),Height(pixels),Height_Width_Ratio,name,locality,number,specimens_number,Longtitude_convert,Latitude_convert,notes
mitchellae_broken-head_c.114513_11.jpg,5082,4686,0.922077922,mitchellae,broken-head,C.114513,11,153.6,-28.71666667,
mitchellae_broken-head_c.114513_12.jpg,5352,4552,0.850523169,mitchellae,broken-head,C.114513,12,153.6,-28.71666667,
mitchellae_broken-head_c.114513_13.jpg,7161,5423,0.757296467,mitchellae,broken-head,C.114513,13,153.6,-28.71666667,
mitchellae_broken-head_c.114513_14.jpg,6479,5126,0.791171477,mitchellae,broken-head,C.114513,14,153.6,-28.71666667,
mitchellae_broken-head_c.114513_15.jpg,5874,5093,0.867041199,mitchellae,broken-head,C.114513,15,153.6,-28.71666667,
mitchellae_broken-head_c.114513_16.jpg,6589,5302,0.804674457,mitchellae,broken-head,C.114513,16,153.6,-28.71666667,
mitchellae_broken-head_c.114513_17.jpg,6448,5408,0.838709677,mitchellae,broken-head,C.114513,17,153.6,-28.71666667,
mitchellae_broken-head_c.114513_18.jpg,6348,6417,1.010869565,mitchellae,broken-head,C.114513,18,153.6,-28.71666667,
mitchellae_broken-head_c.114513_19.jpg,5106,5566,1.09009009,mitchellae,broken-head,C.114513,19,153.6,-28.71666667,
mitchellae_broken-head_c.114513_20.jpg,5568,4960,0.890804598,mitchellae,broken-head,C.114513,20,153.6,-28.71666667,
mitchellae_broken-head_c.114513_21.jpg,5797,5401,0.931688805,mitchellae,broken-head,C.114513,21,153.6,-28.71666667,
mitchellae_broken-head_c.114513_22.jpg,5216,4944,0.947852761,mitchellae,broken-head,C.114513,22,153.6,-28.71666667,
mitchellae_broken-head_c.114513_23.jpg,4950,4378,0.884444444,mitchellae,broken-head,C.114513,23,153.6,-28.71666667,
mitchellae_broken-head_c.114513_24.jpg,5852,4334,0.740601504,mitchellae,broken-head,C.114513,24,153.6,-28.71666667,
mitchellae_broken-head_c.114513_25.jpg,5024,4480,0.891719745,mitchellae,broken-head,C.114513,25,153.6,-28.71666667,
mitchellae_broken-head_c.114513_26.jpg,4444,4279,0.962871287,mitchellae,broken-head,C.114513,26,153.6,-28.71666667,
mitchellae_broken-head_c.114513_27.jpg,4248,3888,0.915254237,mitchellae,broken-head,C.114513,27,153.6,-28.71666667,
