Species,CodeNumber,Longtitude_convert,Latitude_convert,Museum,Museum
novaehollandiae,C.33227,152.95,-30.46666667,AM,
novaehollandiae,C.33228,153,-30.45833333,AM,
novaehollandiae,C.33229,151.7333333,-32.86666667,AM,
novaehollandiae,C.33230,152.5,-30.43638889,AM,
novaehollandiae,C.33226,152.3666667,-31.86666667,AM,
novaehollandiae,C.75171,152.3808333,-31.87083333,AM,
novaehollandiae,C.107272,152.2766667,-31.13472222,AM,
novaehollandiae,C.112171,152.5833333,-30.40833333,AM,
novaehollandiae,C.112174,152.3333333,-32.21666667,AM,
novaehollandiae,C.112177,150.8666667,-32.05,AM,
novaehollandiae,C.158013,152.2586111,-32.34555556,AM,
novaehollandiae,C.112180,151.4875,-32.15611111,AM,
novaehollandiae,C.158022,152.725,-30.375,AM,
novaehollandiae,C.455982,151.3152778,-32.16055556,AM,
novaehollandiae,C.582409,152.5463889,-32.07277778,AM,
novaehollandiae,C.112197,152.4072222,-30.49361111,AM,
novaehollandiae,C.112198,152.4072222,-30.49361111,AM,
novaehollandiae,C.112200,152.5783333,-30.16666667,AM,
novaehollandiae,C.347162,152.6886111,-31.095,AM,
novaehollandiae,C.460020,151.9102778,-31.56666667,AM,
novaehollandiae,C.459673,151.8227778,-31.59833333,AM,
novaehollandiae,C.28508,152.725,-30.375,AM,
novaehollandiae,C.112183,152.725,-30.375,AM,
novaehollandiae,C.587058,151.4052778,-32.99777778,AM,
novaehollandiae,C.40684,152.2383333,-31.59805556,AM,
novaehollandiae,C.347159,152.4266667,-30.09305556,AM,
novaehollandiae,C.112172,151.7516667,-32.25666667,AM,
novaehollandiae,C.141234.001,152.8083333,-30.475,AM,
novaehollandiae,C.455980,151.2294444,-33.10361111,AM,
novaehollandiae,C.488779,152.4466667,-32.34277778,AM,
novaehollandiae,C.512362,152.25,-29.53333333,AM,
novaehollandiae,C.517182,153.1,-30.23333333,AM,
novaehollandiae,C.158020,152.7241667,-30.37305556,AM,
novaehollandiae,C.158021,152.9491667,-30.78666667,AM,
novaehollandiae,C.158023,152.7783333,-30.88138889,AM,
novaehollandiae,C.158689,152.4586111,-29.35166667,AM,
novaehollandiae,C.206423,151.8016667,-32.28027778,AM,
novaehollandiae,C.112168,151.3666667,-32.16666667,AM,
novaehollandiae,C.136862,152.5463889,-29.50166667,AM,
novaehollandiae,C.81396,152.6886111,-31.095,AM,
novaehollandiae,C.320422,152.8980556,-30.21083333,AM,
novaehollandiae,C.561068,152.3080556,-30.41805556,AM,
novaehollandiae,C.158006,152.9783333,-30.82138889,AM,
novaehollandiae,C.459670,151.6288889,-31.71388889,AM,
novaehollandiae,C.378346,152.7416667,-30.52444444,AM,
novaehollandiae,C.459671,151.8227778,-32.58333333,AM,
novaehollandiae,C.460243,152.0205556,-31.61083333,AM,
novaehollandiae,C.459674,152.1441667,-31.73027778,AM,
novaehollandiae,C.320143,153.1416667,-30.12138889,AM,
novaehollandiae,C.588113,152.7666667,-30.5,AM,
novaehollandiae,C.206422,151.7283333,-32.24722222,AM,
novaehollandiae,C.206426.001,151.7283333,-32.24722222,AM,
novaehollandiae,C.455981,151.4683333,-32.12916667,AM,
novaehollandiae,C.455983,151.4494444,-32.9775,AM,
novaehollandiae,C.105156,151.45,-32.025,AM,
novaehollandiae,C.456528,151.4055556,-32.99777778,AM,
novaehollandiae,C.158026,153.1416667,-30.12138889,AM,
