species,number,locality,phallus,epiphallus1,epiphallus2,epiphallus,flagellum,ph_fl,ep1_fl,ep_fl,ep1+ph_fl,ep+ph_fl,ep1_ep2,decimalLatitude,decimalLongitude,shape,retractor,1000pixels=1cm
novaehollandiae,C.348947,Dorrigo,1593,997,1253,2250,425,3.748235294,2.345882353,5.294117647,6.094117647,9.042352941,0.795690343,-30.37305556,152.7241667,,,
novaehollandiae,C.348948,Armidale,804,959,1733,2692,356,2.258426966,2.693820225,7.561797753,4.952247191,9.820224719,0.553375649,-30.505,152.3863889,NA,,
novaehollandiae,C.348949,Dungog,1373,605,1663,2268,587,2.339011925,1.030664395,3.863713799,3.36967632,6.202725724,0.363800361,-32.12833333,151.4697222,,,
novaehollandiae,C.460243,Bugan,1581,1174,1301,2475,297,5.323232323,3.952861953,8.333333333,9.276094276,13.65656566,0.902382782,-31.61083333,152.0205556,,,
novaehollandiae,C.465639,New-England,1181,821,1159,1980,,,,,,,0.708369284,-30.46861111,152.5327778,NA,,
novaehollandiae,C.465644,New-England,842,1118,806,1924,365,2.306849315,3.063013699,5.271232877,5.369863014,7.578082192,1.387096774,-30.46861111,152.5327778,NA,,
novaehollandiae,C.488779,Forster,986,848,1389,2237,623,1.582664526,1.361155698,3.590690209,2.943820225,5.173354735,0.610511159,-32.34277778,152.4466667,,,
novaehollandiae,C.517182spec1,Bruxner,1299,1016,1180,2196,216,6.013888889,4.703703704,10.16666667,10.71759259,16.18055556,0.861016949,-30.23333333,153.1,,,
novaehollandiae,C.517182spec2,Bruxner,789,991,1202,2193,307,2.570032573,3.228013029,7.143322476,5.798045603,9.713355049,0.824459235,-30.23333333,153.1,,,
novaehollandiae,C.561022,Marengo,651,406,945,1351,301,2.162790698,1.348837209,4.488372093,3.511627907,6.651162791,0.42962963,-30.23694444,152.3780556,,,
novaehollandiae,C.575474,Ngulin,1132,957,1100,2057,520,2.176923077,1.840384615,3.955769231,4.017307692,6.132692308,0.87,-31.34888889,151.6077778,,,
novaehollandiae,C.575477,Cottan-Bimbang,454,1341,1135,2476,454,1,2.953744493,5.453744493,3.953744493,6.453744493,1.181497797,-31.41388889,152.175,,NA,
novaehollandiae,C.584421,Barrington,786,1240,1587,2827,493,1.594320487,2.515212982,5.734279919,4.109533469,7.328600406,0.781348456,-32.0618,151.6833,,,
novaehollandiae,C.584422,Barrington,808,690,1119,1809,395,2.04556962,1.746835443,4.579746835,3.792405063,6.625316456,0.616621984,-32.1247,151.4672,,,
novaehollandiae,C.584423,Barrington,947,539,899,1438,388,2.440721649,1.389175258,3.706185567,3.829896907,6.146907216,0.599555061,-32.1247,151.4672,,,
novaehollandiae,C.593269,Tapin-Tops,1376,1091,1169,2260,405,3.397530864,2.69382716,5.580246914,6.091358025,8.977777778,0.933276305,-31.66694444,152.1430556,,,
novaehollandiae,QM10840,Bellengen,1356,1063,1389,2452,194,6.989690722,5.479381443,12.63917526,12.46907216,19.62886598,0.765298776,-30.366667,152.8,,,
novaehollandiae,QM12713,Acacia,882,591,791,1382,400,2.205,1.4775,3.455,3.6825,5.66,0.747155499,-28.333333,152.416667,,,
novaehollandiae,QM17248,Antaric-Beech,1035,1171,1465,2636,692,1.49566474,1.692196532,3.809248555,3.187861272,5.304913295,0.799317406,-28.366667,153.1,,,
novaehollandiae,QM19139,Way-Way,1980,1290,1502,2792,1151,1.720243267,1.120764553,2.425716768,2.841007819,4.145960035,0.85885486,-30.7875,152.948611,,,
novaehollandiae,QM31445,Boorganna,1186,1420,1350,2770,981,1.208970438,1.447502548,2.823649337,2.656472987,4.032619776,1.051851852,-31.633333,152.416667,,,
novaehollandiae,QM31867,Telegherry,1177,795,1411,2206,448,2.627232143,1.774553571,4.924107143,4.401785714,7.551339286,0.563430191,-32.116667,151.683333,,,
novaehollandiae,QM32917,New-England,1142,1144,1137,2281,429,2.662004662,2.666666667,5.317016317,5.328671329,7.979020979,1.006156552,-30.5,152.383333,,NA,
novaehollandiae,QM33065,Dorrigo,1289,1002,1529,2531,510,2.52745098,1.964705882,4.962745098,4.492156863,7.490196078,0.655330281,-30.366667,152.566667,,,
novaehollandiae,QM33097spec1,Bruxner,1218,1258,2107,3365,248,4.911290323,5.072580645,13.56854839,9.983870968,18.47983871,0.597057428,-30.25,153.116667,,,
novaehollandiae,QM36992,Daisy,804,913,1188,2101,494,1.627530364,1.848178138,4.253036437,3.475708502,5.880566802,0.768518519,-30.9075,152.255278,,,
novaehollandiae,QM56374,Chinester,651,1499,1623,3122,426,1.528169014,3.518779343,7.328638498,5.046948357,8.856807512,0.923598275,-32.125,151.183333,,,
rihmondiana,C.348955,Lismore,1670,1200,1783,2983,653,2.557427259,1.837672282,4.568147014,4.395099541,7.125574273,0.673022995,-28.56666667,153.3166667,,,
rihmondiana,QM10496,Mt-Warning,1699,1046,1942,2988,1037,1.638379942,1.008678881,2.881388621,2.647058824,4.519768563,0.538619979,-28.4,153.266667,,,
rihmondiana,QM19051spec1,Binna-Bvrra,1130,1095,1434,2529,918,1.230936819,1.192810458,2.754901961,2.423747277,3.98583878,0.763598326,-28.216667,153.2,,,
rihmondiana,QM19051spec2,Binna-Bvrra,,,,,,,,,,,,-28.216667,153.2,NA,,
