Image,Width(pixels),Height(pixels),Width,Height,Height_Width_Ratio,name,locality,number,specimens_number,Longtitude_convert,Latitude_convert,notes
novaehollandiae_armidale_c.272204_01.jpg,4096,3408,4.096,3.408,0.83203125,novaehollandiae,armidale,C.272204,1,152.386389,-30.505,
novaehollandiae_armidale_c.348948_01.jpg,4248,3736,4.248,3.736,0.879472693,novaehollandiae,armidale,C.348948,1,152.3863889,-30.505,
novaehollandiae_brooklana_c.042050_01.jpg,5005,3674,5.005,3.674,0.734065934,novaehollandiae,brooklana,C.042050,1,152.853333,-30.270833,
novaehollandiae_bruxner_c.517182_01.jpg,5360,4032,5.36,4.032,0.752238806,novaehollandiae,bruxner,C.517182,1,153.1,-30.23333333,
novaehollandiae_bruxner_c.517182_02.jpg,4944,3792,4.944,3.792,0.766990291,novaehollandiae,bruxner,C.517182,2,153.1,-30.23333333,
novaehollandiae_bugan_c.460243_01.jpg,4792,3736,4.792,3.736,0.779632721,novaehollandiae,bugan,C.460243,1,152.0205556,-31.61083333,
novaehollandiae_buladelah_c.048983_01.jpg,4288,3368,4.288,3.368,0.785447761,novaehollandiae,buladelah,C.048983,1,152.255,-32.405,
novaehollandiae_buladelah_c.048983_02.jpg,4024,3424,4.024,3.424,0.850894632,novaehollandiae,buladelah,C.048983,2,152.255,-32.405,
novaehollandiae_bulahdelah_c.118236_01.jpg,4504,3776,4.504,3.776,0.838365897,novaehollandiae,bulahdelah,C.118236,1,152.2705556,-32.33361111,
novaehollandiae_bulahdelah_c.158013_01.jpg,4114,3476,4.114,3.476,0.844919786,novaehollandiae,bulahdelah,C.158013,1,152.2586111,-32.34555556,
novaehollandiae_bulahdelah_c.272198_01.jpg,4411,3938,4.411,3.938,0.89276808,novaehollandiae,bulahdelah,C.272198,1,152.270556,-32.333611,
novaehollandiae_chichester_c.165925_01.jpg,3982,3459,3.982,3.459,0.868658965,novaehollandiae,C.ichester,C.165925,1,151.4166667,-32.11666667,
novaehollandiae_coolongolook_c.112174_01.jpg,4307,3427,4.307,3.427,0.795681449,novaehollandiae,C.olongolook,C.112174,1,152.3333333,-32.11666667,
novaehollandiae_coolongolook_c.272205_01.jpg,5192,3832,5.192,3.832,0.738058552,novaehollandiae,C.olongolook,C.272205,1,152.339722,-32.250833,
novaehollandiae_cottan-bimbang_c.575477_01.jpg,3833,3701,3.833,3.701,0.965562223,novaehollandiae,C.ttan-bimbang,C.575477,1,152.175,-31.41388889,
novaehollandiae_darrington_c.75153_01.jpg,4059,3608,4.059,3.608,0.888888889,novaehollandiae,darrington,C.75153,1,NA,NA,
novaehollandiae_dorigo_c.272199_01.jpg,3784,3488,3.784,3.488,0.921775899,novaehollandiae,dorigo,C.272199,1,152.141111,-31.666111,
novaehollandiae_dorigo_c.272203_01.jpg,4632,3936,4.632,3.936,0.849740933,novaehollandiae,dorigo,C.272203,1,152.766667,-30.366667,
novaehollandiae_dorrigo_c.024546_01.jpg,3548,2968,3.548,2.968,0.836527621,novaehollandiae,dorrigo,C.024546,1,152.725,-30.375,
novaehollandiae_dorrigo_c.028508_01.jpg,4466,3454,4.466,3.454,0.773399015,novaehollandiae,dorrigo,C.028508,1,152.725,-30.375,
novaehollandiae_dorrigo_c.031147_01.jpg,4229,3312,4.229,3.312,0.783163869,novaehollandiae,dorrigo,C.031147,1,152.725,-30.375,
novaehollandiae_dorrigo_c.043899_01.jpg,4080,3512,4.08,3.512,0.860784314,novaehollandiae,dorrigo,C.043899,1,152.7166667,-30.33833333,
novaehollandiae_dorrigo_c.043899_02.jpg,4312,3872,4.312,3.872,0.897959184,novaehollandiae,dorrigo,C.043899,2,152.7166667,-30.33833333,
novaehollandiae_dorrigo_c.043899_03.jpg,4136,3630,4.136,3.63,0.877659574,novaehollandiae,dorrigo,C.043899,3,152.7166667,-30.33833333,
novaehollandiae_dorrigo_c.105157_01.jpg,5040,3864,5.04,3.864,0.766666667,novaehollandiae,dorrigo,C.105157,1,152.7266667,-30.37666667,
novaehollandiae_dorrigo_c.112183_01.jpg,4395,3482,4.395,3.482,0.792263936,novaehollandiae,dorrigo,C.112183,1,152.725,-30.375,
novaehollandiae_dorrigo_c.112185_01.jpg,4208,3680,4.208,3.68,0.874524715,novaehollandiae,dorrigo,C.112185,1,152.4266667,-30.09305556,
novaehollandiae_dorrigo_c.112195_01.jpg,3168,2808,3.168,2.808,0.886363636,novaehollandiae,dorrigo,C.112195,1,152.4730556,-30.55,
novaehollandiae_dorrigo_c.117955_01.jpg,5048,3832,5.048,3.832,0.75911252,novaehollandiae,dorrigo,C.117955,1,152.4266667,-30.09305556,
novaehollandiae_dorrigo_c.117955_02.jpg,5170,4158,5.17,4.158,0.804255319,novaehollandiae,dorrigo,C.117955,2,152.4266667,-30.09305556,
novaehollandiae_dorrigo_c.128360_01.jpg,4862,3575,4.862,3.575,0.735294118,novaehollandiae,dorrigo,C.128360,1,152.7394444,-30.38916667,
novaehollandiae_dorrigo_c.158011_01.jpg,5258,3498,5.258,3.498,0.665271967,novaehollandiae,dorrigo,C.158011,1,152.795,-30.36333333,
novaehollandiae_dorrigo_c.158020_01.jpg,4352,3856,4.352,3.856,0.886029412,novaehollandiae,dorrigo,C.158020,1,152.7241667,-30.37305556,
novaehollandiae_dorrigo_c.158022_01.jpg,3553,3438,3.553,3.438,0.967632986,novaehollandiae,dorrigo,C.158022,1,152.725,-30.375,
novaehollandiae_dorrigo_c.172710_01.jpg,4912,3952,4.912,3.952,0.804560261,novaehollandiae,dorrigo,C.172710,1,152.745,-30.39333333,
novaehollandiae_dorrigo_c.172710_02.jpg,4631,3641,4.631,3.641,0.786223278,novaehollandiae,dorrigo,C.172710,2,152.745,-30.39333333,
novaehollandiae_dorrigo_c.172710_03.jpg,4704,3488,4.704,3.488,0.741496599,novaehollandiae,dorrigo,C.172710,3,152.745,-30.39333333,
novaehollandiae_dorrigo_c.320785_01.jpg,3575,3949,3.575,3.949,1.104615385,novaehollandiae,dorrigo,C.320785,1,152.4077778,-30.48972222,
novaehollandiae_dorrigo_c.347159_01.jpg,4362,3195,4.362,3.195,0.732462173,novaehollandiae,dorrigo,C.347159,1,152.4266667,-30.09305556,
novaehollandiae_dorrigo_c.348947_01.jpg,4816,4176,4.816,4.176,0.867109635,novaehollandiae,dorrigo,C.348947,1,152.7241667,-30.37305556,
novaehollandiae_dungog_c.105162_01.jpg,5247,3729,5.247,3.729,0.710691824,novaehollandiae,dungog,C.105162,1,151.4,-32.033333,
novaehollandiae_dungog_c.112168_01.jpg,4493,3487,4.493,3.487,0.77609615,novaehollandiae,dungog,C.112168,1,151.3666667,-32.16666667,
