,dar,mit,nov,ric,sp1,sp2
dar,—,11.8447,6.6209,11.5719,4.6751,10.2954
mit,11.8447,—,4.7148,6.1523,21.7683,61.0187
nov,6.6209,4.7148,—,6.1962,12.7933,18.4916
ric,11.5719,6.1523,6.1962,—,22.7923,17.9155
sp1,4.6751,21.7683,12.7933,22.7923,—,1.8947
sp2,10.2954,61.0187,18.4916,17.9155,1.8947,—
