,dar,mit,nov,ric,sp1,sp2
dar,—,77.59,78.47,83.56,90.0,80.0
mit,77.59,—,91.39,86.71,82.73,97.27
nov,78.47,91.39,—,90.05,94.93,97.1
ric,83.56,86.71,90.05,—,94.03,91.04
sp1,90.0,82.73,94.93,94.03,—,75.0
sp2,80.0,97.27,97.1,91.04,75.0,—
