,dar,mit,nov,ric,sp1,sp2
dar,—,95.69,97.92,93.15,90.0,80.0
mit,95.69,—,85.66,52.02,99.09,99.09
nov,97.92,85.66,—,53.23,95.65,98.55
ric,93.15,52.02,53.23,—,98.51,97.01
sp1,90.0,99.09,95.65,98.51,—,75.0
sp2,80.0,99.09,98.55,97.01,75.0,—
