,dar,mit,nov,ric,sp1,sp2
dar,—,4.8127,3.2905,2.7531,33.2512,12.9984
mit,4.8127,—,3.9930,5.7210,6.9300,7.4151
nov,3.2905,3.9930,—,4.3355,3.2992,4.4039
ric,2.7531,5.7210,4.3355,—,7.5530,6.4350
sp1,33.2512,6.9300,3.2992,7.5530,—,3.4270
sp2,12.9984,7.4151,4.4039,6.4350,3.4270,—
