,dar,mit,nov,ric,sp1,sp2
dar,—,93.1,92.36,79.45,90.0,80.0
mit,93.1,—,93.03,99.42,99.09,99.09
nov,92.36,93.03,—,99.0,95.65,98.55
ric,79.45,99.42,99.0,—,98.51,94.03
sp1,90.0,99.09,95.65,98.51,—,25.0
sp2,80.0,99.09,98.55,94.03,25.0,—
