,dar,mit,nov,ric,sp1,sp2
dar,—,82.76,88.19,86.3,90.0,60.0
mit,82.76,—,96.72,98.84,52.73,43.64
nov,88.19,96.72,—,99.0,97.1,98.55
ric,86.3,98.84,99.0,—,98.51,97.01
sp1,90.0,52.73,97.1,98.51,—,50.0
sp2,60.0,43.64,98.55,97.01,50.0,—
