,dar,mit,nov,ric,sp1,sp2
dar,—,21.6982,18.9983,9.6524,6.8574,10.4905
mit,21.6982,—,16.4841,29.5004,48.7983,48.1729
nov,18.9983,16.4841,—,55.9206,22.2578,29.1607
ric,9.6524,29.5004,55.9206,—,23.0990,19.4296
sp1,6.8574,48.7983,22.2578,23.0990,—,1.2319
sp2,10.4905,48.1729,29.1607,19.4296,1.2319,—
