,dar,mit,nov,ric,sp1,sp2
dar,—,99.14,91.67,87.67,90.0,90.0
mit,99.14,—,95.9,99.42,98.18,99.09
nov,91.67,95.9,—,98.01,91.3,97.1
ric,87.67,99.42,98.01,—,100.0,98.51
sp1,90.0,98.18,91.3,100.0,—,75.0
sp2,90.0,99.09,97.1,98.51,75.0,—
