,dar,mit,nov,ric,sp1,sp2
dar,—,Data missing,Data missing,Data missing,Data missing,Data missing
mit,Data missing,—,Data missing,Data missing,Data missing,Data missing
nov,Data missing,Data missing,—,Data missing,Data missing,Data missing
ric,Data missing,Data missing,Data missing,—,Data missing,Data missing
sp1,Data missing,Data missing,Data missing,Data missing,—,Data missing
sp2,Data missing,Data missing,Data missing,Data missing,Data missing,—
