,dar,mit,nov,ric,sp1,sp2
dar,—,53.9610,13.0373,12.8183,5.3680,4.2698
mit,53.9610,—,7.5791,17.1992,138.5325,126.6211
nov,13.0373,7.5791,—,13.7087,21.3802,31.8593
ric,12.8183,17.1992,13.7087,—,36.8644,27.2649
sp1,5.3680,138.5325,21.3802,36.8644,—,1.5062
sp2,4.2698,126.6211,31.8593,27.2649,1.5062,—
