,dar,mit,nov,ric,sp1,sp2
dar,—,SN,SN,SN,NS,NS
mit,SN,—,SN,S,S,S
nov,SN,SN,—,SN,NS,SN
ric,SN,S,SN,—,S,S
sp1,NS,S,NS,S,—,NS
sp2,NS,S,SN,S,NS,—
