,dar,mit,nov,ric,sp1,sp2
dar,—,L,M,S,S,M
mit,L,—,M,L,L,L
nov,M,M,—,L,NS,L
ric,S,L,L,—,L,M
sp1,S,L,NS,L,—,NS
sp2,M,L,L,M,NS,—
