,dar,mit,nov,ric,sp1,sp2
dar,—,L,M,M,S,NS
mit,L,—,S,M,L,L
nov,M,S,—,M,NS,L
ric,M,M,M,—,L,L
sp1,S,L,NS,L,—,NS
sp2,NS,L,L,L,NS,—
