,dar,mit,nov,ric,sp1,sp2
dar,—,26.5733,11.1620,11.9249,5.6748,5.4527
mit,26.5733,—,5.6617,14.3258,101.4328,103.7835
nov,11.1620,5.6617,—,11.9217,13.2253,25.1262
ric,11.9249,14.3258,11.9217,—,36.0192,26.4956
sp1,5.6748,101.4328,13.2253,36.0192,—,5.4552
sp2,5.4527,103.7835,25.1262,26.4956,5.4552,—
