Distance_(cm),cm
0.0,0.11852148000000001
0.06533213535353535,0.17922992099493432
0.1306642707070707,0.2377098454096521
0.19599640606060606,0.2756281
0.2613285414141414,0.3085912707070707
0.32666067676767674,0.3584446935329341
0.3919928121212121,0.39477403769405767
0.4573249474747475,0.431673
0.5226570828282828,0.4621654922893607
0.5879892181818182,0.5132353532787333
0.6533213535353535,0.5580758102271969
0.7186534888888889,0.6066049662462463
0.7839856242424242,0.6726005189043589
0.8493177595959596,0.7291605118142385
0.914649894949495,0.7787149646186414
0.9799820303030303,0.8264158628851388
1.0453141656565657,0.8538381189389389
1.110646301010101,0.8774169260926632
1.1759784363636363,0.891027180636908
1.2413105717171717,0.9111278020657021
1.306642707070707,0.9227208211872479
1.3719748424242424,0.9318548799999999
1.4373069777777778,0.9202901786386386
1.502639113131313,0.89992962
1.5679712484848485,0.89753694
1.633303383838384,0.8827683092814026
1.6986355191919191,0.8763090878175145
1.7639676545454546,0.8634586711921611
1.82929978989899,0.86235032
1.8946319252525252,0.86235032
1.9599640606060607,0.86235032
2.025296195959596,0.86351364
2.0906283313131313,0.87275924
2.1559604666666665,0.8818745674051895
2.221292602020202,0.89112598
2.2866247373737374,0.89992962
2.3519568727272726,0.8996321425225225
2.4172890080808083,0.9124525907723948
2.4826211434343435,0.9280299779270179
2.5479532787878787,0.9374008053125852
2.613285414141414,0.9463281123341196
2.6786175494949496,0.94650814
2.743949684848485,0.9440824400000001
2.80928182020202,0.9326018159087885
2.8746139555555557,0.9020001174841508
2.939946090909091,0.8999060436964237
3.005278226262626,0.8961102607306599
3.0706103616161617,0.8934158108411442
3.135942496969697,0.9203871824151424
3.201274632323232,0.957033716409605
3.266606767676768,1.0066326179136713
3.331938903030303,1.02824026
3.3972710383838383,1.0330288571057884
3.462603173737374,1.0490575964224833
3.527935309090909,1.08129069029211
3.5932674444444443,1.1056238999999999
3.65859957979798,1.1260137984238787
3.723931715151515,1.14460782
3.7892638505050504,1.16877338
3.8545959858585856,1.1984742689198287
3.9199281212121213,1.2161570171298572
3.9852602565656565,1.2264990943027876
4.050592391919192,1.23264168
4.115924527272727,1.24255166994267
4.181256662626263,1.248798718234598
4.246588797979798,1.26433072
4.311920933333333,1.2901596698098097
4.377253068686868,1.3099900388321652
4.442585204040404,1.31162806
4.50791733939394,1.3047556252925654
4.573249474747475,1.29855976
4.63858161010101,1.2944279937677072
4.703913745454545,1.30109468
4.76924588080808,1.30109468
4.8345780161616165,1.3099884825488415
4.899910151515152,1.328492657550354
4.965242286868687,1.35596319971608
5.030574422222222,1.3863334653520187
5.095906557575757,1.4132579751714747
5.161238692929293,1.4350754727084662
5.226570828282828,1.4621410072684802
5.291902963636364,1.4860116261698062
5.357235098989899,1.5222284289343893
5.422567234343434,1.549589693089453
5.48789936969697,1.5641090077227364
5.553231505050505,1.5810691908326509
5.61856364040404,1.597666675715109
5.683895775757576,1.6139945879041917
5.749227911111111,1.6217224565098431
5.8145600464646465,1.6312330785858586
5.879892181818182,1.6332682600000001
5.945224317171717,1.6332682600000001
6.010556452525252,1.6277588667861802
6.075888587878788,1.61810192
6.1412207232323235,1.61171128
6.206552858585859,1.594766234714108
6.271884993939394,1.5839024111693512
6.337217129292929,1.5622143
6.402549264646464,1.5606901378166045
6.4678814,1.5577108800000001
