Distance_(cm),cm
0.0,0.39527226000000004
0.08765129494949495,0.46829826977462313
0.1753025898989899,0.5842564721042255
0.2629538848484848,0.6802849082779895
0.3506051797979798,0.7867121368741304
0.43825647474747476,0.8656417279096353
0.5259077696969696,0.9238922710055509
0.6135590646464646,0.9591528012533745
0.7012103595959596,0.9933865256183456
0.7888616545454545,1.021933670909091
0.8765129494949495,1.0379033226026027
0.9641642444444444,1.05425748
1.0518155393939392,1.0775646878078078
1.1394668343434342,1.103578676544423
1.2271181292929292,1.1140185999999999
1.3147694242424242,1.129536192364362
1.4024207191919191,1.1447603313832941
1.490072014141414,1.1672725128995662
1.577723309090909,1.16938806
1.665374604040404,1.1726696709661175
1.753025898989899,1.18146068
1.8406771939393938,1.1742790198817
1.9283284888888887,1.1667225439973306
2.0159797838383837,1.1588547147208614
2.1036310787878785,1.1408175583487572
2.1912823737373737,1.129782216705982
2.2789336686868684,1.11311944
2.3665849636363636,1.10717838
2.4542362585858584,1.0911752021864292
2.5418875535353536,1.08415328
2.6295388484848483,1.0766517805114206
2.7171901434343435,1.06278934
2.8048414383838383,1.065037743298857
2.892492733333333,1.05276142
2.980144028282828,1.0472711949373616
3.067795323232323,1.0373995
3.155446618181818,1.0448527836363637
3.243097913131313,1.0482580000000001
3.330749208080808,1.05030778
3.418400503030303,1.0238592024024025
3.506051797979798,1.02851966
3.593703092929293,1.0222280799999999
3.6813543878787875,0.9995636440513241
3.7690056828282827,0.98509582
3.8566569777777775,0.9825971007207207
3.9443082727272727,0.97705926
4.031959567676767,0.9785280097030363
4.119610862626263,0.9783543968083235
4.207262157575757,0.9789926844699244
4.294913452525252,0.9798431000000001
4.382564747474747,0.98436684
4.4702160424242425,0.9750044
4.557867337373737,0.97456244
4.645518632323232,0.96925384
4.733169927272727,0.9748429945454544
4.820821222222222,0.9829114200000001
4.908472517171717,0.9969402014262743
4.996123812121212,1.0174794749949947
5.083775107070707,1.0383710986550185
5.171426402020201,1.04497124
5.259077696969697,1.0373696765469063
5.346728991919192,1.0373995
5.434380286868687,1.0471570955107967
5.522031581818181,1.05276142
5.6096828767676765,1.0645235138860072
5.697334171717172,1.08177076
5.784985466666666,1.0797970071071072
5.872636761616161,1.085179377438044
5.960288056565656,1.08956094
6.047939351515152,1.08956094
6.135590646464646,1.0914518207219341
6.223241941414141,1.09742732
6.310893236363636,1.095193508219924
6.398544531313131,1.0791180232013833
6.486195826262626,1.0676769533563868
6.573847121212121,1.0576919591791791
6.661498416161616,1.0345779509351773
6.7491497111111105,1.0166265553687024
6.836801006060606,0.9944787977340978
6.924452301010101,1.004935425154852
7.012103595959596,1.0213830564289603
7.09975489090909,1.0430380580293959
7.187406185858586,1.0705592588411057
7.275057480808081,1.1005566
7.362708775757575,1.126975299255619
7.45036007070707,1.1470671605344738
7.5380113656565655,1.1720540178657441
7.625662660606061,1.2038133789680592
7.713313955555555,1.2281109419028604
7.80096525050505,1.2591072192947437
7.888616545454545,1.2809068318998367
7.97626784040404,1.3050593544969211
8.063919135353535,1.3293789374095308
8.15157043030303,1.3446452860860856
8.239221725252525,1.3732944485849483
8.32687302020202,1.4157946837334305
8.414524315151514,1.4695840611775397
8.502175610101009,1.548310696110049
8.589826905050504,1.632823456281736
8.6774782,1.6843375
