Distance_(cm),cm
0.0,0.25170638
0.03309363434343435,0.2771481423399157
0.0661872686868687,0.31499557556344226
0.09928090303030304,0.35365921646525134
0.1323745373737374,0.3972538335226135
0.16546817171717174,0.4344867493918161
0.19856180606060608,0.47163073320957327
0.23165544040404043,0.49831496358904365
0.2647490747474748,0.5353330298747959
0.29784270909090915,0.568479146336418
0.33093634343434347,0.5997007425916827
0.3640299777777778,0.6279627965165165
0.39712361212121217,0.664087052119392
0.43021724646464654,0.6968695128479996
0.46331088080808086,0.7310995900512635
0.4964045151515152,0.7616778942623843
0.5294981494949496,0.7917320692747293
0.5625917838383839,0.8210260578530045
0.5956854181818183,0.8524137755118757
0.6287790525252526,0.8813445615797617
0.6618726868686869,0.8969948878993528
0.6949663212121213,0.9086669555755756
0.7280599555555556,0.91239213253493
0.76115358989899,0.9239512785640186
0.7942472242424243,0.9349464517826918
0.8273408585858587,0.9471406714223315
0.8604344929292931,0.961808477943507
0.8935281272727273,0.9787680080753481
0.9266217616161617,0.98203512
0.9597153959595961,0.9861143600000001
0.9928090303030304,0.9868228413286014
1.0259026646464648,0.98727514
1.058996298989899,0.98727514
1.0920899333333334,0.9915873730339322
1.1251835676767679,0.9924079072345072
1.1582772020202021,0.99609402
1.1913708363636366,1.0043754490363093
1.2244644707070709,1.00682806
1.2575581050505051,1.00682806
1.2906517393939396,1.005153164029484
1.3237453737373739,0.9995254306385172
1.3568390080808082,0.9949547936724604
1.3899326424242426,0.9995885339248339
1.423026276767677,1.0036568588616706
1.4561199111111112,1.0143434501929474
1.4892135454545457,1.0261536011138412
1.52230717979798,1.0343560492249826
1.5554008141414144,1.0436384063772868
1.5884944484848487,1.0533927809282009
1.621588082828283,1.0630077342944415
1.6546817171717174,1.0692599489726091
1.6877753515151517,1.0761258042733644
1.7208689858585862,1.0866066484872754
1.7539626202020204,1.09205776
1.7870562545454547,1.09205776
1.8201498888888892,1.08709321423819
1.8532435232323234,1.0670955411292564
1.8863371575757577,1.044504367012467
1.9194307919191922,1.0313825993460126
1.9525244262626265,1.02231207343222
1.9856180606060607,1.0181378985148786
2.018711694949495,1.0106732356124115
2.0518053292929297,1.0041178800000001
2.084898963636364,1.0031747252306853
2.117992597979798,0.9993376101701701
2.1510862323232325,0.9989706945956571
2.1841798666666667,1.000257371516966
2.2172735010101015,1.004373029014698
2.2503671353535357,1.0160398371184904
2.28346076969697,1.0287386970352175
2.3165544040404042,1.0453984294458094
2.3496480383838385,1.05376393658871
2.382741672727273,1.0616466912030484
2.4158353070707075,1.072808162366177
2.4489289414141417,1.08362496
2.482022575757576,1.0838793732787333
2.5151162101010103,1.0935583290065822
2.5482098444444445,1.0959592016899533
2.5813034787878792,1.1027503805951406
2.6143971131313135,1.1170263563708949
2.6474907474747478,1.1174882400000001
2.680584381818182,1.1176061915533715
2.7136780161616163,1.1246142382376316
2.746771650505051,1.13024158
2.7798652848484853,1.13024158
2.8129589191919195,1.1263646236830769
2.846052553535354,1.12566704
2.879146187878788,1.12566704
2.9122398222222223,1.12566704
2.945333456565657,1.1231557725028058
2.9784270909090913,1.1220958
3.0115207252525256,1.12173429328844
3.04461435959596,1.1190194041144175
3.077707993939394,1.11915448
3.110801628282829,1.1190851425534625
3.143895262626263,1.1171687778104396
3.1769888969696973,1.1046781307004172
3.2100825313131316,1.0937918572244971
3.243176165656566,1.086790175525829
3.2762698,1.08375704
