Distance_(cm),cm
0.0,0.44700698
0.05336026868686868,0.4833794141820608
0.10672053737373736,0.5354696811739011
0.16008080606060604,0.5906469656868081
0.21344107474747473,0.6340025444734773
0.2668013434343434,0.6851876626595295
0.3201616121212121,0.7322395057930657
0.3735218808080808,0.7733871361749228
0.42688214949494946,0.8065765363326963
0.4802424181818181,0.8400154072727272
0.5336026868686868,0.8778904714617648
0.5869629555555556,0.9192754100767435
0.6403232242424242,0.9683003419288695
0.6936834929292929,1.01720769894514
0.7470437616161616,1.064025731281679
0.8004040303030302,1.1155515441553256
0.8537642989898989,1.1712530152631417
0.9071245676767676,1.2298165209870475
0.9604848363636362,1.275425209090909
1.013845105050505,1.3246592557521157
1.0672053737373737,1.3631277167027633
1.1205656424242423,1.407997888191828
1.173925911111111,1.4230711007850965
1.2272861797979797,1.42567914
1.2806464484848483,1.42909544
1.3340067171717171,1.42567914
1.3873669858585858,1.42336634329663
1.4407272545454544,1.4164732563636362
1.4940875232323232,1.40848334
1.5474477919191918,1.4039594113125247
1.6008080606060604,1.3955082045372644
1.6541683292929292,1.39179808
1.7075285979797978,1.38901424
1.7608888666666664,1.3883943862075847
1.8142491353535353,1.372264714848788
1.8676094040404039,1.3655352209585345
1.9209696727272725,1.356534798181818
1.9743299414141413,1.3445148367033701
2.02769021010101,1.337962488686262
2.0810504787878785,1.3375995600000001
2.1344107474747473,1.32110226
2.187771016161616,1.3207185883372647
2.2411312848484846,1.31697222
2.2944915535353534,1.32077714
2.347851822222222,1.3206245874474474
2.4012120909090906,1.3084556
2.4545723595959594,1.3054953530821733
2.5079326282828283,1.2982674662274396
2.5612928969696966,1.2888087
2.6146531656565655,1.2861366200000002
2.6680134343434343,1.28557782
2.7213737030303027,1.28290066
2.7747339717171715,1.28502156
2.8280942404040403,1.28947418
2.8814545090909087,1.28947418
2.9348147777777776,1.2865544444911579
2.9881750464646464,1.2829292939600205
3.0415353151515148,1.28077468
3.0948955838383836,1.279325893220831
3.1482558525252524,1.27976884
3.201616121212121,1.2798660607929595
3.2549763898989896,1.284354524628319
3.3083366585858585,1.288877604135651
3.361696927272727,1.29496058
3.4150571959595957,1.29855976
3.4684174646464645,1.2996562969612038
3.521777733333333,1.3050526483483482
3.5751380020202017,1.3099872199999998
3.6284982707070705,1.318874010471179
3.681858539393939,1.327614564127764
3.7352188080808078,1.3352950489415107
3.7885790767676766,1.347654190950344
3.841939345454545,1.35167116
3.895299614141414,1.3619481107932174
3.9486598828282826,1.3740739599999998
4.0020201515151514,1.3844579318791517
4.05538042020202,1.39220956
4.108740688888888,1.39478004
4.162100957575757,1.39478004
4.215461226262626,1.4053261200000002
4.268821494949495,1.4088706239324174
4.3221817636363635,1.4118386799999998
4.375542032323232,1.4146253759686958
4.4289023010101,1.422633925547972
4.482262569696969,1.4274701407134407
4.535622838383838,1.4409815253988991
4.588983107070707,1.4479594933855067
4.642343375757576,1.4605098157103973
4.695703644444444,1.4711117499001996
4.749063913131312,1.4904436484933414
4.802424181818181,1.4980820709090907
4.85578445050505,1.5236858365092365
4.909144719191919,1.5432364870974002
4.962504987878788,1.5544736431813628
5.0158652565656565,1.5762750613722813
5.0692255252525245,1.5961872175721283
5.122585793939393,1.6233678391507893
5.175946062626262,1.6425719918629407
5.229306331313131,1.6506358701550035
5.2826666,1.65705282
