id,SV1,SV2,SV3,SV4,SV5,SV6,SV7,SV8,SV9,SV10
novaehollandiae_QM17029_Gibraltar_04,-1.08229597429412E-002,5.14657497098697E-002,1.91532763892934E-002,5.74408785845283E-003,-1.17241277733058E-002,1.03049546584872E-002,2.57953607823873E-003,-4.33396366486840E-003,8.77274874869881E-003,-3.46671777938692E-003
novaehollandiae_QM17029_Gibraltar_05,-4.98513731964338E-002,2.72253154078972E-002,6.18286682583208E-003,1.47217856607137E-002,3.21177986065537E-003,-8.45315158365733E-003,1.07731221562342E-002,7.01240576083073E-003,1.43312836481815E-002,3.58124303468661E-004
sp1_QM32876_Mt-Kaputar_01,1.36550943229754E-002,7.82093046054545E-002,5.02400590345453E-002,2.84220136834752E-002,1.21200027320150E-002,-6.32001026873608E-003,7.74884264912044E-003,2.07520943332774E-003,-1.25564834541802E-002,1.96310598501040E-003
novaehollandiae_QM36956_Wilson-River_01,1.44613858068426E-001,1.68564229401753E-002,5.45250570534971E-002,1.21358395458951E-002,-4.60194475147234E-003,-2.72445233654802E-003,5.78544443027048E-003,8.46940458677426E-003,-2.21782051868910E-003,-2.94156098297900E-003
novaehollandiae_QM36956_Wilson-River_02,1.44635852673928E-001,-4.02210149894375E-003,6.72450804259496E-002,1.56980064899740E-002,-1.64920429037900E-002,-1.77865265476917E-003,-1.47406075716128E-003,2.57680266726499E-003,3.36149914346028E-004,1.89119748265932E-003
darlingtoni_MCZ99054_type,-3.00551740979083E-002,-1.24965047819350E-002,-3.52630698315513E-002,2.27932880106583E-002,-5.01785404033868E-003,-6.66598201055970E-003,7.88377248836734E-003,8.41634389855454E-003,8.20599110453374E-003,7.89127339042784E-003
darlingtoni_QM59910_Broader-Ranges_01,-3.83732187465482E-002,2.43132531441897E-003,-3.12872165044475E-002,1.53718001601478E-002,-2.15747925624743E-002,-9.09714399329756E-004,3.00994320879574E-003,6.20801170937112E-003,9.62410057371300E-003,1.21579135804692E-003
darlingtoni_QM59910_Broader-Ranges_03,-6.71767580499917E-002,-1.61309986256128E-002,-1.47089784576001E-002,4.34673729888976E-002,1.39284700389014E-002,2.95357703114988E-003,-3.06968632777410E-003,-1.62537618226806E-003,-1.97351985570016E-003,7.69655403634137E-004
novaehollandiae_NHM1977032_syntype,4.11367964725042E-002,-2.46903118237311E-002,2.52152146477671E-002,8.17539916153972E-004,-2.18019196818645E-002,-8.37784502179867E-003,-4.37442098830451E-004,2.16683787889691E-003,-1.37893113394949E-003,7.28643694233874E-003
richmondiana_NHM1983079_syntype,5.13223956016087E-002,-9.54001379110627E-002,-2.98069898012854E-002,1.56130239967767E-002,8.07247863256651E-003,1.44622773942380E-002,-1.87419365059783E-003,-5.62994524466802E-003,-8.92090638609815E-004,-4.03830284422564E-003
darlingtoni^_lamington_c.112130_01,5.51198612500756E-003,-2.87501687370436E-002,-2.56176723134002E-002,2.89045432707913E-002,2.93281573932746E-002,5.70263263366169E-004,-9.90420766733883E-003,7.45400204670939E-003,-2.63455533827481E-004,-3.42519577954135E-003
darlingtoni^_na_c.75747_01,2.89523543022251E-002,4.29770970118303E-002,-1.02084632728610E-001,-5.93209411587610E-002,1.48284471150215E-002,1.79555374651643E-003,-1.04894131221302E-002,-1.72652850812433E-003,8.15045623939037E-003,1.49523838548978E-004
darlingtoni_kyogle_c.111794_01,2.65381782147799E-002,6.48063599202037E-003,-2.08687244192099E-002,2.21405882589235E-002,5.15975780519841E-003,-2.18208533931492E-003,-8.51828434920043E-003,1.07078942246910E-002,-5.88602429915503E-004,-4.32076801055641E-003
darlingtoni_kyogle_c.111794_02,-3.63268175892477E-002,3.28985706570437E-002,-1.10323158107197E-001,-5.97166171605886E-003,2.15799484629076E-002,7.02102053410029E-003,2.88538033868504E-003,-1.09823467825982E-002,-3.41872323793166E-003,2.84569808815979E-003
darlingtoni_kyogle_c.272201_01,-3.29581651468826E-002,2.97994789285296E-002,-9.33262544580208E-002,-2.87752967225481E-002,1.50517442175103E-002,-2.61420796724325E-002,-5.41713292102299E-003,8.71430015084187E-003,1.13930726704229E-002,4.29655697038804E-003
mitchellae^_na_c.474697_01,1.59612565327512E-002,5.44162450513842E-002,6.81550470393490E-002,-2.15236964920113E-002,-1.33401942601773E-002,3.05738069839499E-003,-1.53710353577645E-002,1.90522558069436E-002,-1.81970653156358E-003,6.22774792211288E-003
mitchellae_bilinudgel_c.584209.001_01,-1.45177089459057E-002,-2.77918404285243E-002,1.51119945864224E-002,-2.02245181517070E-002,2.56593545451005E-002,1.20182991097112E-002,6.92981777834324E-003,2.34037230541155E-003,-2.91252273636221E-003,-2.06435307150002E-003
mitchellae_broken-head_c.114513_01,-1.66624221870108E-002,2.76513396354288E-002,-1.35230112660914E-002,-2.23489445824586E-002,1.78469325692326E-002,-1.07261194054569E-003,1.33118317839147E-002,-7.51665738492997E-003,4.13716602481701E-003,-1.06007292865134E-002
mitchellae_broken-head_c.114513_02,-7.74080919995684E-002,-2.55361377179132E-002,1.52010689470924E-002,-2.57622562338795E-002,7.45739527948901E-003,-4.55167522185171E-003,2.25071661956396E-003,-4.51562878426519E-003,-9.20173321179033E-003,3.88322413330523E-003
mitchellae_broken-head_c.114513_03,-7.64209297246394E-002,2.81931664839824E-002,3.93131800700186E-002,1.40294166161405E-002,2.07141989126452E-002,-4.09636611892460E-003,2.11670525881771E-002,-5.82646005280385E-003,-3.73045439823029E-003,-5.67741360630846E-004
mitchellae_broken-head_c.114513_04,-7.43963595292978E-002,-4.87648347359249E-003,1.20855822895484E-002,-5.18407807780306E-003,7.64254470706244E-003,2.34852903159488E-003,7.74861406659332E-004,1.03937673039243E-002,4.24484028416639E-003,9.08670778185553E-004
mitchellae_broken-head_c.114513_05,-8.32789064192133E-002,2.58169627016553E-002,-7.46621704484032E-003,3.11208928428288E-003,2.26508339251034E-002,1.29028058953331E-002,-9.65007528486628E-003,1.22163475607365E-002,3.68560080332846E-003,-2.04313291809855E-003
mitchellae_broken-head_c.114513_06,-4.26432413185844E-002,1.56391420059999E-003,-6.22917266860477E-004,-2.51346787839575E-002,1.52364237429207E-002,-3.77310677354313E-003,7.57380373125280E-003,-1.71030032149738E-006,-1.14204251051698E-002,4.75950057505830E-003
mitchellae_broken-head_c.114513_07,-7.26120337497523E-002,3.04605382127682E-003,1.38317933087149E-002,1.07306768416415E-002,3.90272837313482E-002,3.22472674770997E-003,-7.12231702460975E-003,9.96086284790544E-003,-4.45848113454286E-003,-8.59342124728855E-006
mitchellae_broken-head_c.114513_08,-7.69439624241444E-002,-1.92231603578668E-003,1.24507228542373E-002,-2.82650650670867E-003,3.85319122384767E-004,8.34042066514964E-003,-9.82662019566832E-003,-9.22174827579160E-003,-5.92902855055961E-003,4.70559632202154E-003
mitchellae_broken-head_c.114513_09,-5.68709232014026E-002,-1.60412596623562E-002,2.66738918639892E-004,-1.43966962577497E-002,-1.57078276031943E-002,-4.73641112465908E-003,-1.71153312644484E-003,-1.27349763566976E-003,4.47387849345806E-003,-7.51211712177400E-004
mitchellae_broken-head_c.114513_10,-6.02393362938119E-002,1.77514297256570E-002,1.06944588630936E-003,2.20610484027220E-002,1.24150209306501E-002,5.13359261090602E-003,-8.32444405215903E-003,-5.60125405692737E-003,8.91695447489106E-003,-1.91773109717637E-003
mitchellae_broken-head_c.114513_11,-6.88399327742378E-002,-1.04267308981793E-002,4.18795408172158E-003,-1.49974094368215E-002,-3.82151962095322E-003,-5.20110911526526E-003,-9.62389894987425E-003,7.34184607818166E-003,-2.82983395151258E-003,-3.22177336748870E-003
mitchellae_broken-head_c.114513_12,-7.50203380414429E-002,-1.66734999265519E-002,1.59169789089853E-002,-1.85067739540350E-002,1.26226150486382E-002,-7.72644214309856E-003,6.78760648725878E-003,9.26497996448556E-004,-1.44956071264822E-003,-4.10251767366440E-003
mitchellae_broken-head_c.114513_13,-1.14587363037587E-001,1.69901571834858E-003,-2.88364123248089E-002,-2.28415722244741E-003,-1.43148127901384E-002,-4.28756795200709E-003,6.19909716764560E-003,3.74221239330383E-003,-4.57230084785970E-003,-6.79463698337680E-003
mitchellae_broken-head_c.114513_14,-7.82403140449157E-002,-1.46668458536694E-002,8.22469249084367E-003,-1.03276563993283E-002,-2.06725561954637E-003,9.98918838165028E-004,-4.22463265874627E-003,-6.86500838750476E-003,1.30313457528594E-003,-2.63669004702497E-003
mitchellae_broken-head_c.114513_15,-5.43004298578595E-002,-1.34331749823048E-002,-1.56280271110292E-003,-2.37169193877843E-002,1.62488541434357E-002,-1.29105489807716E-002,-3.43466031107752E-003,-5.40288130001838E-003,-5.90282543204160E-003,-1.10987223399602E-002
mitchellae_broken-head_c.114513_16,-8.59985432994020E-002,-1.44568600597029E-002,2.34305763157925E-002,7.40733757546663E-003,-1.14650923557582E-002,-1.39230867897060E-003,-7.20236173565019E-003,-1.94210606029249E-003,-3.66322990956395E-003,1.12399776690842E-004
mitchellae_broken-head_c.114513_17,-9.45665630743966E-002,-3.21717979823070E-002,7.09335310448255E-003,-2.38918880133301E-003,2.36180443335773E-002,1.87933934144673E-002,-8.33845880154944E-004,9.33684420396642E-003,-9.56771381991543E-003,-3.72297474172766E-003
mitchellae_broken-head_c.114513_18,-1.31746943844463E-001,4.14954647980053E-002,4.98383850395862E-002,2.77328130487768E-002,3.01287322948002E-002,2.97999658908903E-002,-5.63431182111179E-003,1.39335945571557E-002,-4.61349791889002E-003,2.32813712730837E-003
mitchellae_broken-head_c.114513_19,-7.58017284186761E-002,-3.98312303987842E-002,1.40969336409994E-002,-2.08678009440207E-002,-7.05189867575527E-003,-1.92774842528909E-002,-1.71589234805348E-003,-1.74009321932737E-003,-8.35566577371903E-003,2.49652929272416E-003
mitchellae_broken-head_c.114513_20,-7.72814718716382E-002,-3.63827723514971E-002,1.88588009451611E-003,-1.94501291901329E-002,1.93015218434601E-003,-1.19421167466476E-002,-1.15718470296455E-002,-3.08230876179062E-003,-2.14401521888751E-003,-7.81928078892007E-004
mitchellae_broken-head_c.114513_21,-1.04347381274811E-001,8.05759900233505E-003,8.75471646842952E-003,1.26586721940674E-002,7.51210861139343E-004,1.64429074176694E-003,1.22827780672975E-003,-9.82585200614904E-003,-1.09706350625064E-002,-2.25818246103874E-003
mitchellae_broken-head_c.114513_22,-2.65532879678733E-002,6.47258817065944E-003,-1.96757195916072E-002,-2.60438431352962E-002,-8.98848964052182E-003,-1.45703693028807E-002,-9.44181333385707E-003,5.75457507679688E-003,1.33343624686871E-003,1.00794253901443E-002
mitchellae_broken-head_c.114513_23,-4.81810211566081E-002,-9.75729910135464E-003,-1.18921308050498E-002,-8.59901316371138E-003,-7.30062326243762E-003,-1.03604525286545E-002,-1.32053294974142E-002,2.85210251148478E-003,1.40370110295861E-003,2.67533509228646E-003
mitchellae_broken-head_c.114513_24,-1.28879764145843E-001,1.00172596954250E-002,1.31817318211669E-003,-1.49181982389904E-002,-2.08554869127069E-003,-3.71696718882070E-003,2.34509059687730E-003,6.27737846734051E-004,-1.30697678908957E-002,1.01203486463725E-002
mitchellae_broken-head_c.114513_25,-6.56421996654308E-002,-1.74431007648032E-003,-8.40193575446071E-005,-1.22866564021632E-002,4.43236116458456E-003,-3.05720538033616E-003,-3.13635531031515E-003,-6.88686571321132E-003,-1.08826545256111E-003,4.86555084223971E-003
mitchellae_broken-head_c.114513_26,-6.89673026566665E-002,-1.62719581199434E-002,4.41506102778634E-003,-1.27705634568758E-002,1.43122984937310E-002,-5.42625351385693E-003,-2.73332953803297E-003,-5.83573749309833E-003,7.44948295225312E-003,2.73725129638504E-003
mitchellae_broken-head_c.114513_27,-9.63024923648536E-002,6.85025064180398E-003,8.56695395436371E-003,-6.38679003238396E-003,-1.17224336930935E-002,-7.68027511544519E-003,-1.18322381652296E-002,-1.11706172273876E-002,-7.88602115125993E-003,-3.02437338044623E-003
mitchellae_broken-head_c.114513_28,-1.42179074022838E-001,4.06562676231727E-002,-3.23141413067086E-002,-5.05428531534954E-004,-1.84671681637490E-002,-1.77466532480418E-003,-5.47282298322512E-004,-3.66411909893517E-004,4.43234914885019E-003,1.39717398025224E-003
mitchellae_broken-head_c.114513_29,-7.27818260476966E-002,6.56520177103051E-005,-1.18380793885822E-002,-2.68096031669638E-002,-7.47495145496546E-003,-4.25956043547124E-003,-7.88331436841946E-003,-1.24503350926527E-002,-9.98613264700365E-003,-6.32827121209513E-005
mitchellae_broken-head_c.114513_30,-2.67391507893637E-002,-3.52015455555442E-004,5.84629150859924E-003,-6.09827488530217E-003,9.88020094702339E-004,-2.69384952752833E-003,7.03903999515998E-003,2.50853566851251E-003,-7.61014830197830E-003,-2.75102302524694E-004
mitchellae_broken-head_c.114513_31,-1.17250273658278E-001,4.67467165279672E-002,-1.37879704833578E-002,-1.86019205971581E-003,-3.11554328272568E-002,-1.09371359033306E-002,-3.00843735812343E-003,-4.43017991205846E-003,-7.81202715443051E-003,4.50207937074880E-003
mitchellae_broken-head_c.114513_32,-2.50418019530012E-002,3.13125854572739E-003,-1.67558640787712E-002,3.85210152857721E-003,-5.86409168858905E-003,4.50334419542338E-003,-1.38767319191643E-002,5.29559785243392E-003,6.87851125334733E-003,-1.81927021198532E-003
mitchellae_broken-head_c.114513_33,-6.10132312622031E-002,-3.89410672918698E-003,2.56491005103727E-002,-1.96268378680186E-002,1.32080142512660E-002,6.27537429269897E-003,1.35122401620570E-003,-5.69587062151579E-003,1.78488936405300E-003,-1.68226633210571E-003
mitchellae_broken-head_c.114513_34,-6.38624679683151E-002,-1.79739599018740E-002,1.96728383723465E-002,4.51375552478853E-003,9.41160199262269E-003,-1.03849871448842E-002,-1.09091947840416E-002,-3.81123373852431E-003,5.31754068994418E-003,4.71610772877950E-003
mitchellae_broken-head_c.114513_35,-6.65460589942007E-002,4.05583599547848E-003,-4.03891566390566E-003,3.75207132008781E-004,2.26612516938393E-002,-1.70901775307484E-003,-4.78123144601495E-003,-8.89186141578430E-003,4.85735571384136E-003,7.81681927524442E-004
mitchellae_broken-head_c.114513_36,-1.53163978584740E-002,-4.95690001511608E-002,2.50366651724845E-002,-2.08706380355897E-002,2.08853090418778E-002,6.60478422530783E-003,2.88848977460438E-003,3.86393382847860E-003,3.51186514199082E-003,-3.28962683657416E-003
mitchellae_broken-head_c.114513_37,-7.23625244816957E-002,1.93374842964542E-002,1.25364968803952E-003,-1.08374784893778E-002,-2.19901016897148E-002,-2.34392082618447E-002,-4.52259775168482E-003,-1.77044848694705E-003,-2.53750702318449E-003,2.67747946721765E-003
mitchellae_broken-head_c.114513_38,-9.54220064217832E-002,1.65114219283546E-002,2.38748465269419E-002,1.32083881764789E-002,7.78360558418367E-003,2.75929168775502E-003,-2.11794540109016E-002,-3.47282552231381E-003,-3.18787818755656E-003,-2.52471063991900E-003
mitchellae_broken-head_c.114513_39,-3.25755071894146E-002,-1.59546254813303E-002,-8.44492464710812E-003,-1.11715164680841E-002,8.09976514692838E-003,-8.94653454274042E-003,6.00348040940567E-004,-2.30928973066509E-003,-1.05143252230905E-002,-5.05980018900774E-004
mitchellae_broken-head_c.114513_40,-6.46423430314976E-002,1.14673001063796E-002,1.04455995983729E-002,-1.45991613396397E-002,1.83863642566172E-002,-9.03800123316829E-003,1.03220999089136E-002,-2.19780249355897E-003,-1.11500282349158E-002,-5.19598267614987E-004
mitchellae_broken-head_c.114513_41,-1.60402236683082E-002,-5.21993911595632E-003,5.42269238286177E-003,7.69637801538975E-003,1.30769411699612E-002,2.48292810116537E-002,8.37540036409019E-003,-3.95821751472648E-003,-4.48168874553643E-003,2.29866938697229E-003
mitchellae_broken-head_c.114513_42,-3.89322236691000E-002,-1.74957085706773E-002,8.48688225137268E-003,6.51828307648191E-003,-8.49698572407231E-003,-2.52174168453779E-003,-4.87574451718810E-003,4.44727934767332E-003,1.19965187762056E-003,-1.99875150056278E-003
mitchellae_broken-head_c.114513_43,-3.59046215637955E-002,-1.10670625911569E-002,8.66625945650468E-003,1.98971019285128E-003,2.18200613574310E-002,-9.30045726129818E-003,1.21569998043789E-002,-7.71816470316542E-004,-8.96788305068562E-005,-4.95501136643280E-003
mitchellae_broken-head_c.114513_44,-1.14622508571511E-001,-7.86631656131692E-003,1.58870403032135E-002,-9.33881753707850E-003,-2.53025574100288E-002,-2.51248117420641E-002,-1.63867383501490E-004,-6.08098283829460E-003,-2.89866073360106E-003,3.12755161401639E-003
mitchellae_broken-head_c.114513_45,-1.62854683854440E-002,-3.56873767167027E-002,4.59298259290425E-002,-1.31778909891239E-002,2.03578944747020E-002,4.70151671016098E-003,2.06729216348646E-003,1.76560316865700E-002,2.45651267244385E-003,2.74861127975429E-003
mitchellae_byron-bay_c.112236_01,-8.85116017326734E-002,-4.30210276143360E-002,-1.37448655696930E-002,-3.66472406085808E-002,-7.20249746975977E-003,-2.30436814123975E-002,1.32008678284245E-003,9.89140522970073E-003,-6.60292575865214E-003,4.48925423975821E-003
mitchellae_byron-bay_c.112236_02,-1.31100442973768E-001,-7.93231096845052E-003,4.24960174189286E-002,-7.46143467095770E-005,1.15545336271507E-002,4.12583879539298E-003,-1.83200202805432E-003,-8.67218470032109E-004,1.84465262404872E-003,2.60989939990770E-003
mitchellae_byron-bay_c.112237_01,-1.92438111178612E-002,-4.22784171289148E-004,1.11169863007365E-003,-3.17732800104968E-003,3.32167141606967E-002,2.76515384555290E-003,-1.74451928122850E-002,-6.21775268529517E-004,-3.60445856013160E-003,6.87730432338799E-003
mitchellae_byron-bay_c.112238_01,-1.19517043267121E-001,2.10432194913237E-003,-5.11785690834566E-003,-1.13030025139843E-003,-1.92486231035305E-002,-2.57504424177923E-002,-1.01214958759910E-002,3.30055583036198E-003,1.48656674150861E-003,1.92397092171494E-003
mitchellae_byron-bay_c.112238_02,-1.63271596354386E-002,-3.20424777824588E-002,1.47418249094258E-002,-2.29840860265239E-002,1.56516165090815E-002,-3.25537796928657E-003,8.03533185588181E-003,-1.20254891732913E-002,3.14287561362435E-003,-3.43153364065738E-003
mitchellae_byron-bay_c.112238_03,-6.65270665010608E-002,-1.58123869834676E-002,-7.03964110788233E-003,-7.04091271693854E-003,2.02489442886896E-002,7.18750415224947E-003,-8.13860771988847E-004,-7.83068238584849E-003,-2.81638356298245E-003,-5.40133672783071E-003
