Distance_(cm),cm
0.0,0.1693164
0.02334514,0.18929203757575758
0.04669028,0.22217110606060606
0.07003542,0.2442801127272727
0.09338056,0.27108573333333336
0.1167257,0.29210777393939397
0.14007084,0.3115074472727273
0.16341598000000002,0.32776029151515157
0.18676112,0.33818591393939396
0.21010626,0.34559632545454544
0.2334514,0.358114523030303
0.25679654,0.36902474666666674
0.28014168,0.3812729345454545
0.30348682,0.38942772000000003
0.32683196000000003,0.4060911975757575
0.3501771,0.4233990654545455
0.37352224,0.4369678224242424
0.39686738,0.4494916387878788
0.42021252,0.4568873490909091
0.44355766,0.46666958181818186
0.4669028,0.47464025575757574
0.49024794,0.4815629872727273
0.51359308,0.4899566866666667
0.53693822,0.5003478266666667
0.56028336,0.5150265636363636
0.5836285,0.5247602284848485
0.60697364,0.531637086060606
0.63031878,0.5401056000000001
0.6536639200000001,0.5529035824242425
0.67700906,0.5677356430303031
0.7003542,0.575109570909091
0.72369934,0.5788449103030303
0.74704448,0.5866384
0.77038962,0.59858148
0.79373476,0.608860706060606
0.8170799,0.62164722
0.84042504,0.6236983854545455
0.86377018,0.6285262327272728
0.88711532,0.6332925042424242
0.91046046,0.6387998399999999
0.9338056,0.64362584
0.95715074,0.6464445472727273
0.98049588,0.6509726745454545
1.00384102,0.6549009769696971
1.02718616,0.6626622933333334
1.0505313,0.6674494236363637
1.07387644,0.672139803030303
1.09722158,0.6788265454545455
1.12056672,0.6823213545454545
1.14391186,0.6877770436363637
1.167257,0.6946498218181818
1.19060214,0.7022557363636364
1.21394728,0.7063803884848484
1.23729242,0.7127972751515151
1.26063756,0.7206187818181818
1.2839827,0.7273662533333333
1.3073278400000001,0.7328828254545455
1.3306729800000001,0.7381343909090909
1.35401812,0.7432807387878788
1.37736326,0.7469770545454546
1.4007084,0.7562118018181818
1.42405354,0.7692655545454545
1.44739868,0.7793215684848486
1.47074382,0.7852640909090909
1.49408896,0.7877610648484848
1.5174341,0.7930714351515151
1.54077924,0.7986979200000001
1.56412438,0.8045653199999999
1.58746952,0.8084951618181817
1.61081466,0.8110815745454545
