,dar,mit,nov,ric,sp1,sp2
dar,—,6.3269,8.0778,4.1596,1.6913,2.0454
mit,6.3269,—,8.6490,3.5390,3.4956,3.7885
nov,8.0778,8.6490,—,8.0755,8.7563,15.4908
ric,4.1596,3.5390,8.0755,—,7.1209,8.7647
sp1,1.6913,3.4956,8.7563,7.1209,—,0.3389
sp2,2.0454,3.7885,15.4908,8.7647,0.3389,—
