,dar,mit,nov,ric,sp1,sp2
dar,—,NS,NS,NS,NS,NS
mit,NS,—,NS,SN,NS,NS
nov,NS,NS,—,NS,NS,NS
ric,NS,SN,NS,—,NS,NS
sp1,NS,NS,NS,NS,—,NS
sp2,NS,NS,NS,NS,NS,—
