,dar,mit,nov,ric,sp1,sp2
dar,—,9.0637,7.1713,4.1979,2.1109,1.4441
mit,9.0637,—,3.4080,3.2909,5.9657,3.5775
nov,7.1713,3.4080,—,4.0704,7.7244,6.3443
ric,4.1979,3.2909,4.0704,—,12.2171,8.5686
sp1,2.1109,5.9657,7.7244,12.2171,—,0.2914
sp2,1.4441,3.5775,6.3443,8.5686,0.2914,—
