,dar,mit,nov,ric,sp1,sp2
dar,—,3.3833,8.2096,3.0727,1.2553,1.4834
mit,3.3833,—,5.3166,4.0736,2.9412,5.2171
nov,8.2096,5.3166,—,5.4368,5.5833,7.8758
ric,3.0727,4.0736,5.4368,—,4.2217,6.7989
sp1,1.2553,2.9412,5.5833,4.2217,—,0.0764
sp2,1.4834,5.2171,7.8758,6.7989,0.0764,—
