,dar,mit,nov,ric,sp1,sp2
dar,—,100.0,86.21,68.75,60.0,33.33
mit,100.0,—,66.13,50.0,100.0,70.0
nov,86.21,66.13,—,56.06,96.36,89.29
ric,68.75,50.0,56.06,—,100.0,92.86
sp1,60.0,100.0,96.36,100.0,—,66.67
sp2,33.33,70.0,89.29,92.86,66.67,—
