,dar,mit,nov,ric,sp1,sp2
dar,—,83.33,70.69,62.5,80.0,83.33
mit,83.33,—,72.58,70.0,77.78,70.0
nov,70.69,72.58,—,69.7,92.73,96.43
ric,62.5,70.0,69.7,—,69.23,85.71
sp1,80.0,77.78,92.73,69.23,—,66.67
sp2,83.33,70.0,96.43,85.71,66.67,—
