,dar,mit,nov,ric,sp1,sp2
dar,—,58.33,86.21,68.75,80.0,66.67
mit,58.33,—,74.19,70.0,66.67,60.0
nov,86.21,74.19,—,66.67,83.64,87.5
ric,68.75,70.0,66.67,—,69.23,71.43
sp1,80.0,66.67,83.64,69.23,—,66.67
sp2,66.67,60.0,87.5,71.43,66.67,—
