node_id,Width,Height,phallus,epiphallus1,epiphallus2,flagellum
Node62,2.910397915546461e-05,5.538236471416029e-05,8.906194301990304e-05,3.2926342065822346e-05,1.9578802070011507e-05,0.00859309767366575
Node4,0.03262753307176914,0.03262753307176914,0.6691408878405667,1.0,0.03262753307176914,0.03262753307176914
Node61,0.00019512360776136373,0.013026807610521194,0.15994040061446274,0.2697055679650024,0.010722525086980525,0.005942865137674903
Node1,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node3,0.26146412994911117,0.26146412994911117,0.26146412994911117,0.26146412994911117,0.26146412994911117,0.26146412994911117
Node7,0.7557356175737274,0.1374852075950244,0.14323490752466572,0.7696979437812901,0.7696979437812901,0.14323490752466572
Node60,0.01855969520643278,0.018288922556149365,0.09686181261022715,0.13142951281616863,0.706056827224921,0.9692458424567336
Node2,,,,,,
Node6,0.8891665502533096,0.36791572311175974,0.3618050274975317,0.3618050274975317,0.28388613075982716,0.28388613075982716
Node8,0.31731050786291115,0.31731050786291115,,,,
Node59,0.047368053646069705,0.008549873225833247,0.6815668927944742,0.3386390745185617,0.2741041003368371,0.5290089461607306
Node5,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node10,,,,,,
Node58,0.1529008755026423,0.20845723406664085,0.6755192155830385,0.6757431367523918,0.45145350518962024,0.35839351929899466
Node9,,,,,,
Node23,,,,,,
Node57,0.04780270672787857,0.033949092778934584,0.5552085985677863,0.13562438897050674,0.04783725479310369,0.6146003201373553
Node22,0.2233625274963925,0.17354949511416767,0.6878845906625711,0.3768039278697123,0.935962472920912,0.3768039278697123
Node28,1.0,1.0,0.22067136191984324,0.22067136191984324,0.22067136191984324,1.0
Node56,0.030849666732608638,0.16829881141067515,0.2774314084913634,1.0,0.0742376043510347,0.1575894852123413
Node15,0.37582508748869803,0.6579050194284826,0.37582508748869803,0.37582508748869803,0.37582508748869803,1.0
Node21,0.4385780260810006,0.052807511416113395,0.06407750645105924,0.6434288435636226,0.6434288435636226,0.3545394797735011
Node27,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node31,,,,,,
Node55,0.0053113101574750405,0.050039994746940895,0.0055934612930220685,0.04780734513569531,0.14642232619911807,0.7823481383951039
Node12,1.0,1.0,0.22067136191984324,0.22067136191984324,1.0,0.22067136191984324
Node14,1.0,1.0,0.22067136191984324,1.0,1.0,1.0
Node16,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node20,0.47950012218695337,0.15729920705028105,,,,
Node26,,,,,,
Node30,,,,,,
Node33,,,,,,
Node54,0.008498419170598973,0.7636019879897025,0.046535346477328474,0.011297168332559428,0.004991302126177407,0.4218006856762522
Node11,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node13,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node19,1.0,0.12133525035848367,0.12133525035848367,0.12133525035848367,0.12133525035848367,0.12133525035848367
Node25,,,,,,
Node29,0.36787944117144245,0.36787944117144245,0.36787944117144245,0.36787944117144245,0.36787944117144245,0.36787944117144245
Node32,,,,,,
Node40,0.052807511416113395,1.0,0.10247043485974916,0.10247043485974916,1.0,0.15729920705028105
Node53,0.25331938152510886,0.017320081256450997,0.30581717493528393,0.18310682418884497,0.15167112522862258,0.0007266366612089546
Node17,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node18,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node24,,,,,,
Node34,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,
Node39,,,,,,
Node45,0.02534731867746828,0.02534731867746828,0.02534731867746828,0.02534731867746828,0.02534731867746828,0.02534731867746828
Node52,0.030123644381969916,0.10898425631958371,0.036682774402465396,0.29619002430210856,0.1436058696633569,0.01217150134788965
Node38,,,,,,
Node44,,,,,,
Node47,0.22067136191984324,0.22067136191984324,1.0,0.22067136191984324,1.0,0.22067136191984324
Node51,,,0.8161533547581342,0.10363796401396276,0.10363796401396276,0.10363796401396276
Node37,,,,,,
Node41,,,,,,
Node43,,,,,,
Node46,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node50,0.6072355437741097,0.6072355437741097,0.019254406332042766,0.4352793432181423,0.019254406332042766,0.019254406332042766
Node36,,,,,,
Node42,,,,,,
Node48,,,,,,
Node49,0.4060058497098379,0.4060058497098379,,,,
Node35,,,,,,
