node_id,Width,Height,phallus,epiphallus1,epiphallus2,flagellum
Node72,2.910397915546461e-05,5.538236471416029e-05,8.906194301990304e-05,3.2926342065822346e-05,1.9578802070011507e-05,0.00859309767366575
Node6,0.03262753307176914,0.03262753307176914,0.6691408878405667,1.0,0.03262753307176914,0.03262753307176914
Node71,0.00019512360776136373,0.013026807610521194,0.15994040061446274,0.2697055679650024,0.010722525086980525,0.005942865137674903
Node1,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node5,0.04550026389635857,0.04550026389635857,0.04550026389635857,0.04550026389635857,0.04550026389635857,0.04550026389635857
Node11,0.7557356175737274,0.1374852075950244,0.14323490752466572,0.7696979437812901,0.7696979437812901,0.14323490752466572
Node70,0.01855969520643278,0.018288922556149365,0.09686181261022715,0.13142951281616863,0.706056827224921,0.9692458424567336
Node4,,,,,,
Node10,1.0,0.2361369702216489,0.2482130789899204,0.24821307898991984,0.08326451666355042,0.5637028616507718
Node12,0.31731050786291115,0.31731050786291115,,,,
Node69,0.047368053646069705,0.008549873225833247,0.6815668927944742,0.3386390745185617,0.2741041003368371,0.5290089461607306
Node3,,,,,,
Node7,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node9,0.15729920705028105,0.15729920705028105,0.22067136191984324,1.0,0.22067136191984324,1.0
Node14,,,,,,
Node68,0.1529008755026423,0.20845723406664085,0.6755192155830385,0.6757431367523918,0.45145350518962024,0.35839351929899466
Node2,,,,,,
Node8,,,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node13,,,,,,
Node27,,,,,,
Node67,0.04780270672787857,0.033949092778934584,0.5552085985677863,0.13562438897050674,0.04783725479310369,0.6146003201373553
Node26,0.2233625274963925,0.17354949511416767,0.6878845906625711,0.3768039278697123,0.935962472920912,0.3768039278697123
Node32,1.0,1.0,0.22067136191984324,0.22067136191984324,0.22067136191984324,1.0
Node66,0.030849666732608638,0.16829881141067515,0.2774314084913634,1.0,0.0742376043510347,0.1575894852123413
Node19,0.37582508748869803,0.6579050194284826,0.37582508748869803,0.37582508748869803,0.37582508748869803,1.0
Node25,0.4385780260810006,0.052807511416113395,0.06407750645105924,0.6434288435636226,0.6434288435636226,0.3545394797735011
Node31,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node36,,,,,,
Node65,0.0053113101574750405,0.050039994746940895,0.0055934612930220685,0.04780734513569531,0.14642232619911807,0.7823481383951039
Node16,1.0,1.0,0.22067136191984324,1.0,1.0,1.0
Node18,1.0,1.0,0.22067136191984324,0.22067136191984324,1.0,0.22067136191984324
Node20,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node24,0.47950012218695337,0.15729920705028105,,,,
Node30,,,,,,
Node35,,,,,,
Node38,,,,,,
Node64,0.046953833081714705,0.046953833081714705,0.1645122055492536,0.27246143192718214,0.42049094897241124,0.00048673133245641284
Node15,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node17,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node23,1.0,0.12133525035848367,0.12133525035848367,0.12133525035848367,0.12133525035848367,0.12133525035848367
Node29,,,,,,
Node34,0.15729920705028105,0.15729920705028105,0.15729920705028105,0.15729920705028105,0.15729920705028105,0.15729920705028105
Node37,,,,,,
Node49,0.003714491941037784,0.03335994528868336,0.02194677100324683,0.05620966783119103,0.02194677100324683,0.061368829139402274
Node63,,,0.027467387596718015,0.027467387596718015,0.04412040325156495,0.027467387596718015
Node21,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node22,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node28,,,,,,
Node33,,,,,,
Node43,0.052807511416113395,1.0,,,,
Node48,0.02534731867746828,0.02534731867746828,0.02534731867746828,0.02534731867746828,0.02534731867746828,0.02534731867746828
Node50,,,,,,
Node62,0.030123644381969916,0.10898425631958371,0.036682774402465396,0.29619002430210856,0.1436058696633569,0.01217150134788965
Node39,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,
Node42,,,,,,
Node47,,,,,,
Node52,0.22067136191984324,0.22067136191984324,1.0,0.22067136191984324,1.0,0.22067136191984324
Node61,,,0.8161533547581342,0.10363796401396276,0.10363796401396276,0.10363796401396276
Node41,,,,,,
Node44,,,,,,
Node46,,,,,,
Node51,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node60,0.6072355437741097,0.6072355437741097,0.019254406332042766,0.4352793432181423,0.019254406332042766,0.019254406332042766
Node40,,,,,,
Node45,,,,,,
Node55,,,,,,
Node59,0.07556056752594141,0.07556056752594141,0.22067136191984324,1.0,1.0,1.0
Node54,,,,,,
Node56,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115,0.31731050786291115
Node58,0.15729920705028105,0.15729920705028105,,,,
Node53,,,,,,
Node57,,,,,,
